ID Obra,Ano Início Obra,Data Início,Ano Fim Obra,Data Fim,UF,Município,Latitude,Longitude,Execução Física,Execução Financeira,Investimento Total,Modalidade,Tipo de Instrumento,Tipo,Subtipo,CNPJ Executor,Funcional Programática,Emenda,Plurianual Prioritário,PróBrasil,Restos a Pagar,Valor Conclusão,Valor Empenhado,Valor Repasse,Valor Desembolsado,Motivo Paralisação,Causa Paralisação,Justificativa Tratativa,Data Previsão Retomada,Data Criação,Data Atualização
789281,2013,2013-12-27 00:00:00,2015,2015-12-30 00:00:00,CE,LAVRAS DA MANGABEIRA/CE,-6.751955,-38.963402,-,-,250868.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
789647,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,FORQUILHA/CE,-3.799447,-40.263405,-,-,507893.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
790010,2013,2013-12-31 00:00:00,2021,2021-04-30 00:00:00,CE,IPU/CE,-4.323982,-40.709746,-,0.7875641166147501,304766.79,-,-,-,-,-,-,-,-,-,-,0,0,0,236240.0,-,-,-,-,-,-
790099,2013,2013-12-16 00:00:00,2017,2017-06-03 00:00:00,CE,ITATIRA/CE,-4.53055,-39.621048,-,-,251000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
790131,2013,2013-12-30 00:00:00,2016,2016-12-19 00:00:00,CE,BANABUIU/CE,-5.304151,-38.919772,-,-,301326.53,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
790140,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,CHOROZINHO/CE,-4.301089,-38.497692,-,-,250867.35,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
790285,2013,2013-12-27 00:00:00,2016,2016-12-16 00:00:00,CE,JAGUARUANA/CE,-4.831508,-37.780997,-,-,275520.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
790541,2013,2013-12-31 00:00:00,2017,2017-06-18 00:00:00,CE,PACATUBA/CE,-3.9841,-38.618038,-,-,817470.25,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
791344,2013,2013-12-31 00:00:00,2016,2016-12-30 00:00:00,CE,ITAPIPOCA/CE,-3.496059,-39.58192,-,-,307605.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
792681,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,IBARETAMA/CE,-4.819434,-38.820848,-,-,503163.27,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
792795,2013,2013-12-30 00:00:00,2016,2016-12-19 00:00:00,CE,BARREIRA/CE,-4.288336,-38.641094,-,-,402244.9,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
793727,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,CHOROZINHO/CE,-4.301089,-38.497692,-,-,301206.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
793728,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,SANTA QUITERIA/CE,-4.333655,-40.154491,-,-,281030.4,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
794427,2013,2013-12-31 00:00:00,2018,2018-09-20 00:00:00,CE,ITAPAGE/CE,-3.667709,-39.591776,-,0.793190053323181,251100.0,-,-,-,-,-,-,-,-,-,-,0,0,0,245850.0,-,-,-,-,-,-
798066,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,UMIRIM/CE,-3.677774,-39.348725,-,-,821715.49,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
799542,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,LIMOEIRO DO NORTE/CE,-5.145561,-38.098494,-,-,1027600.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
799891,2013,2013-12-31 00:00:00,2016,2016-12-30 00:00:00,CE,ITAPIPOCA/CE,-3.496059,-39.58192,-,-,2780105.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
799909,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,GUAIUBA/CE,-4.041266,-38.636908,-,-,514266.1,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
801390,2014,2014-07-22 00:00:00,2016,2016-07-22 00:00:00,CE,ICO/CE,-6.400399,-38.857595,-,-,1010000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
802667,2014,2014-10-20 00:00:00,2017,2017-10-09 00:00:00,CE,PACATUBA/CE,-3.9841,-38.618038,-,-,960302.99,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803008,2014,2014-09-09 00:00:00,2017,2017-08-29 00:00:00,CE,AQUIRAZ/CE,-3.906312,-38.387504,-,-,560776.06,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803061,2014,2014-07-28 00:00:00,2019,2019-01-30 00:00:00,CE,BEBERIBE/CE,-4.181047,-38.12981,-,-,317066.76,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803065,2014,2014-12-23 00:00:00,2017,2017-12-12 00:00:00,CE,PALHANO/CE,-4.744941,-37.96084,-,-,395000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803168,2014,2014-07-23 00:00:00,2016,2016-07-23 00:00:00,CE,ICO/CE,-6.400399,-38.857595,-,-,1010000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803208,2014,2014-08-05 00:00:00,2017,2017-07-25 00:00:00,CE,BELA CRUZ/CE,-3.052913,-40.167582,-,-,1010000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
803317,2014,2014-12-03 00:00:00,2017,2017-11-22 00:00:00,CE,MASSAPE/CE,-3.523906,-40.342311,-,-,2051937.9,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
